seed,partition,num_news,popularity
111,-1,0,0.08
111,-1,1,0.06
111,-1,2,0.05
111,-1,3,0.01
111,-1,4,0.07
111,-1,5,0.03
111,-1,6,0.04
111,-1,7,0.02
111,-1,8,0.09
111,-1,9,0.0
111,0,0,0.08
111,0,1,0.06
111,0,2,0.05
111,0,3,0.01
111,0,4,0.07
111,0,5,0.03
111,0,6,0.04
111,0,7,0.02
111,0,8,0.09
111,0,9,0.0
111,1,0,0.08
111,1,1,0.06
111,1,2,0.05
111,1,3,0.01
111,1,4,0.07
111,1,5,0.03
111,1,6,0.04
111,1,7,0.02
111,1,8,0.09
111,1,9,0.0
112,-1,0,0.05
112,-1,1,0.04
112,-1,2,0.08
112,-1,3,0.07
112,-1,4,0.02
112,-1,5,0.03
112,-1,6,0.09
112,-1,7,0.0
112,-1,8,0.06
112,-1,9,0.01
112,0,0,0.05
112,0,1,0.04
112,0,2,0.08
112,0,3,0.07
112,0,4,0.02
112,0,5,0.03
112,0,6,0.09
112,0,7,0.0
112,0,8,0.06
112,0,9,0.01
112,1,0,0.05
112,1,1,0.04
112,1,2,0.08
112,1,3,0.07
112,1,4,0.02
112,1,5,0.03
112,1,6,0.09
112,1,7,0.0
112,1,8,0.06
112,1,9,0.01
113,-1,0,0.0
113,-1,1,0.02
113,-1,2,0.08
113,-1,3,0.03
113,-1,4,0.07
113,-1,5,0.01
113,-1,6,0.06
113,-1,7,0.09
113,-1,8,0.05
113,-1,9,0.04
113,0,0,0.0
113,0,1,0.02
113,0,2,0.08
113,0,3,0.03
113,0,4,0.07
113,0,5,0.01
113,0,6,0.06
113,0,7,0.09
113,0,8,0.05
113,0,9,0.04
113,1,0,0.0
113,1,1,0.02
113,1,2,0.08
113,1,3,0.03
113,1,4,0.07
113,1,5,0.01
113,1,6,0.06
113,1,7,0.09
113,1,8,0.05
113,1,9,0.04
114,-1,0,0.0
114,-1,1,0.09
114,-1,2,0.07
114,-1,3,0.02
114,-1,4,0.04
114,-1,5,0.01
114,-1,6,0.06
114,-1,7,0.05
114,-1,8,0.03
114,-1,9,0.08
114,0,0,0.0
114,0,1,0.09
114,0,2,0.07
114,0,3,0.02
114,0,4,0.04
114,0,5,0.01
114,0,6,0.06
114,0,7,0.05
114,0,8,0.03
114,0,9,0.08
114,1,0,0.0
114,1,1,0.09
114,1,2,0.07
114,1,3,0.02
114,1,4,0.04
114,1,5,0.01
114,1,6,0.06
114,1,7,0.05
114,1,8,0.03
114,1,9,0.08
121,-1,0,0.03
121,-1,1,0.01
121,-1,2,0.09
121,-1,3,0.05
121,-1,4,0.02
121,-1,5,0.07
121,-1,6,0.0
121,-1,7,0.06
121,-1,8,0.04
121,-1,9,0.08
121,0,0,0.03
121,0,1,0.01
121,0,2,0.09
121,0,3,0.05
121,0,4,0.02
121,0,5,0.07
121,0,6,0.0
121,0,7,0.06
121,0,8,0.04
121,0,9,0.08
121,1,0,0.03
121,1,1,0.01
121,1,2,0.09
121,1,3,0.05
121,1,4,0.02
121,1,5,0.07
121,1,6,0.0
121,1,7,0.06
121,1,8,0.04
121,1,9,0.08
122,-1,0,0.01
122,-1,1,0.08
122,-1,2,0.0
122,-1,3,0.03
122,-1,4,0.07
122,-1,5,0.09
122,-1,6,0.04
122,-1,7,0.05
122,-1,8,0.06
122,-1,9,0.02
122,0,0,0.01
122,0,1,0.08
122,0,2,0.0
