time,seed,event,user_id,user_stance,user_partition,ranking,num_rank,num_news,news_stance,highlight,in_this_session
1754921334,214,Interaction,1,-2,-1,4678321950,9,0,-2,True,False
1754921561,111,Interaction,1,-2,-1,8041265739,3,1,-2,True,False
1754921658,112,Interaction,2,-2,-1,6238015497,6,5,0,False,False
1754921669,223,Interaction,1,-2,-1,8134602579,5,0,-2,True,False
1754921688,221,Interaction,3,2,1,7584026319,0,7,1,False,False
1754921732,114,Interaction,4,-2,-1,1926748350,9,0,-2,True,False
1754921759,113,Interaction,3,2,1,7246893150,4,8,2,False,False
1754921766,133,Interaction,2,-2,-1,0389476512,1,3,-1,False,False
1754921785,122,Interaction,5,-2,-1,5148763902,0,5,0,False,False
1754921806,124,Interaction,3,2,1,9251403876,0,9,2,False,False
1754921811,121,Interaction,4,-1,-1,2957380416,0,2,-1,True,False
1754921816,212,Interaction,1,-2,-1,4169870325,8,2,-1,True,False
1754921826,231,Interaction,2,-2,-1,2495871603,1,4,0,False,False
1754921870,234,Interaction,6,-2,-1,3718529046,2,1,-2,True,False
1754921877,132,Interaction,3,2,1,5721896340,1,7,1,False,False
1754921949,222,Interaction,4,-2,-1,7381462950,1,3,-1,True,False
1754921970,213,Interaction,5,-1,-1,8497016253,8,5,0,False,False
1754921982,131,Interaction,9,1,1,3781925604,8,0,-2,False,False
1754921986,224,Interaction,8,1,1,7490621385,6,1,-2,True,False
1754921995,232,Interaction,6,-2,-1,4760928153,7,1,-2,True,False
1754922015,134,Interaction,11,0,0,2078935641,9,1,-2,False,False
1754922040,234,Interaction,2,-2,-1,1378529046,0,1,-2,False,False
1754922072,221,Interaction,6,-2,-1,7584026319,5,2,-1,False,False
1754922085,123,Interaction,4,-2,-1,6127483905,1,1,-2,True,False
1754922088,232,Interaction,9,0,0,4760928153,0,4,0,False,False
1754922092,124,Interaction,12,-2,-1,9251403876,6,3,-1,False,False
1754922101,223,Interaction,11,-1,-1,0813462579,0,0,-2,False,False
1754922125,211,Interaction,10,-2,-1,4621085973,0,4,0,False,False
1754922141,213,Interaction,6,-2,-1,5849701623,5,0,-2,True,False
1754922176,211,Interaction,12,-2,-1,4621085973,3,1,-2,False,False
1754922178,212,Interaction,11,-1,-1,2416987035,0,2,-1,False,False
1754922223,114,Interaction,9,-2,-1,0192674835,1,1,-2,False,False
1754922236,132,Interaction,12,-2,-1,7521896340,3,1,-2,False,False
1754922279,231,Interaction,5,-2,-1,4295871603,0,4,0,False,False
1754922280,113,Interaction,9,1,1,8724693150,2,2,-1,False,False
1754922292,233,Interaction,7,-2,-1,5416829307,2,1,-2,False,False
1754922301,121,Interaction,11,-2,-1,2957380416,2,5,0,False,False
1754922362,111,Interaction,14,0,0,1804265739,9,9,2,False,False
1754922367,233,Interaction,12,-2,-1,1546829307,8,0,-2,False,False
1754922397,224,Interaction,10,-2,-1,7490621385,1,4,0,False,False
1754922402,133,Interaction,15,1,1,3089476512,6,6,1,True,False
1754922430,222,Interaction,16,1,1,7381462950,0,7,1,False,False
1754922444,112,Interaction,13,-2,-1,5623801497,2,2,-1,False,False
1754922446,134,Interaction,5,-1,-1,1207893564,9,4,0,False,False
1754922451,214,Interaction,14,-1,-1,0467832195,6,2,-1,False,False
1754922477,123,Interaction,8,1,1,1627483905,6,3,-1,True,False
1754922521,234,Interaction,18,1,1,3718529046,2,1,-2,False,False
1754922522,122,Interaction,7,-1,-1,5148763902,1,1,-2,False,False
1754922562,124,Interaction,7,-2,-1,9325140876,9,6,1,False,False
1754922564,114,Interaction,16,-1,-1,1092674835,3,2,-1,True,False
1754922571,222,Interaction,19,-2,-1,3781462950,3,1,-2,True,False
1754922578,132,Interaction,18,-1,-1,7152896340,4,8,2,False,False
1754922594,112,Interaction,14,1,1,2563801497,7,4,0,False,False
1754922604,121,Interaction,8,2,1,2597380416,6,0,-2,False,False
1754922627,111,Interaction,7,-2,-1,1980426573,0,1,-2,False,False
1754922628,231,Interaction,17,1,1,2495871603,8,0,-2,False,False
1754922631,233,Interaction,18,2,1,5416829307,7,3,-1,True,False
1754922645,123,Interaction,16,-1,-1,1362748905,5,4,0,False,False
1754922671,134,Interaction,19,-2,-1,4120789356,0,4,0,True,False
1754922675,232,Interaction,8,1,1,4760928153,7,1,-2,False,False
1754922678,133,Interaction,14,2,1,3608947512,9,2,-1,False,False
1754922705,223,Interaction,13,1,1,8134602579,2,3,-1,False,False
1754922749,211,Interaction,18,2,1,4621085973,5,8,2,False,False
1754922760,221,Interaction,16,-1,-1,2758406319,6,6,1,True,False
1754922764,131,Interaction,15,0,0,0378192564,7,5,0,False,False
1754922778,113,Interaction,19,-1,-1,2874693150,0,2,-1,True,False
1754922784,213,Interaction,10,-1,-1,0584971623,3,4,0,False,False
1754922800,212,Interaction,22,-1,-1,2416987035,0,2,-1,True,False
1754922821,131,Interaction,19,-2,-1,5037819264,5,1,-2,True,False
1754922821,224,Interaction,21,-2,-1,4790621385,7,3,-1,False,False
1754922836,233,Interaction,22,-2,-1,1054682937,5,8,2,False,False
1754922853,131,Interaction,22,-2,-1,1503789264,0,1,-2,True,False
1754922856,214,Interaction,17,1,1,4678321950,0,4,0,False,False
1754922881,214,Interaction,22,-2,-1,0246783195,2,4,0,False,False
1754922910,222,Interaction,10,-2,-1,3178462950,4,4,0,False,False
1754922941,113,Interaction,21,-2,-1,2874693150,5,9,2,False,False
1754922952,134,Interaction,13,-1,-1,4120789356,0,4,0,False,False
1754922953,133,Interaction,17,2,1,3620894751,8,5,0,False,False
1754922977,122,Interaction,20,-2,-1,5148763902,0,5,0,False,False
1754923016,121,Interaction,21,-2,-1,2509738416,9,6,1,False,False
1754923034,132,Interaction,15,-1,-1,7185296340,8,4,0,False,False
1754923056,213,Interaction,25,1,1,8497016253,6,6,1,True,False
1754923060,224,Interaction,24,-2,-1,4379062185,9,5,0,False,False
1754923086,232,Interaction,21,-2,-1,1476092853,4,0,-2,False,False
1754923090,112,Interaction,17,-1,-1,2546380197,2,4,0,False,False
1754923092,122,Interaction,27,-2,-1,5148763902,2,4,0,False,False
1754923121,231,Interaction,13,1,1,0249587163,6,7,1,False,False
1754923127,111,Interaction,25,-1,-1,1980426573,4,4,0,True,False
1754923138,234,Interaction,27,-2,-1,1378529046,4,5,0,False,False
1754923146,212,Interaction,25,-2,-1,2416987035,0,2,-1,True,False
1754923161,114,Interaction,15,1,1,1209674835,5,7,1,True,False
1754923162,121,Interaction,27,-2,-1,2506973841,1,5,0,False,False
1754923176,223,Interaction,24,-1,-1,0813462579,4,4,0,False,False
1754923179,211,Interaction,23,2,1,8462105973,7,9,2,True,False
1754923187,133,Interaction,27,-1,-1,3652089471,7,4,0,False,False
1754923192,124,Interaction,20,-2,-1,9362514087,3,2,-1,False,False
1754923225,214,Interaction,25,-1,-1,0426783195,9,5,0,False,False
1754923270,231,Interaction,24,-2,-1,4295871603,0,4,0,True,False
1754923289,222,Interaction,29,-1,-1,3147862950,0,3,-1,True,False
1754923301,124,Interaction,30,-1,-1,9236514087,5,1,-2,False,False
1754923302,122,Interaction,23,1,1,5148763902,7,9,2,True,False
1754923339,221,Interaction,28,2,1,7584026319,6,6,1,True,False
1754923347,114,Interaction,31,2,1,1270964835,9,5,0,False,False
1754923354,213,Interaction,20,-1,-1,0458971623,1,4,0,False,False
1754923396,232,Interaction,24,-2,-1,1047692853,2,4,0,False,False
1754923413,224,Interaction,23,2,1,1749062385,6,2,-1,False,False
1754923414,212,Interaction,30,-1,-1,2416987035,1,4,0,False,False
1754923433,111,Interaction,31,1,1,1498026573,7,5,0,False,False
1754923461,131,Interaction,20,-1,-1,1503789264,1,5,0,False,False
1754923487,211,Interaction,29,-1,-1,4162085973,1,1,-2,False,False
1754923487,132,Interaction,31,-1,-1,7184529630,4,5,0,False,False
1754923489,234,Interaction,28,0,0,3718529046,4,5,0,True,False
1754923513,113,Interaction,34,-1,-1,2897463150,3,7,1,True,False
1754923525,133,Interaction,31,0,0,3465208971,3,5,0,False,False
1754923536,223,Interaction,33,1,1,3814602579,3,4,0,False,False
1754923546,221,Interaction,30,-2,-1,6275840319,5,4,0,True,False
1754923552,233,Interaction,23,-2,-1,1805462937,8,3,-1,False,False
1754923572,111,Interaction,34,1,1,1459802673,1,4,0,False,False
1754923606,212,Interaction,28,2,1,4169870325,3,9,2,True,False
1754923620,124,Interaction,34,0,0,9213654087,4,6,1,True,False
1754923640,233,Interaction,30,-2,-1,1830546297,4,5,0,False,False
1754923650,134,Interaction,29,-2,-1,4120789356,2,2,-1,True,False
1754923657,222,Interaction,34,1,1,7381462950,4,4,0,True,False
1754923671,113,Interaction,28,2,1,2789463150,2,8,2,True,False
1754923683,112,Interaction,32,-1,-1,4256380197,0,4,0,True,False
1754923724,121,Interaction,33,-1,-1,5206973841,8,4,0,False,False
1754923760,223,Interaction,29,-2,-1,0481362579,4,3,-1,True,False
1754923776,123,Interaction,36,1,1,1436278905,1,4,0,False,False
1754923805,132,Interaction,33,0,0,5718429630,4,4,0,False,False
1754923820,123,Interaction,39,1,1,4136278905,8,0,-2,False,False
1754923837,234,Interaction,32,-1,-1,1537829046,2,3,-1,True,False
1754923843,214,Interaction,35,-2,-1,0425678319,9,9,2,True,False
1754923846,131,Interaction,38,1,1,1503789264,2,0,-2,False,False
1754923851,232,Interaction,39,-2,-1,1407692853,6,2,-1,False,False
1754923867,221,Interaction,39,1,1,6758402319,7,3,-1,False,False
1754923891,224,Interaction,39,-1,-1,4357906218,8,1,-2,False,False
1754923907,114,Interaction,33,-1,-1,1275096483,9,3,-1,False,False
1754923927,112,Interaction,36,1,1,4256380197,0,4,0,False,False
1754923933,211,Interaction,32,-1,-1,1462085973,2,6,1,True,False
1754923936,221,Interaction,43,1,1,6735840219,0,6,1,False,False
1754923942,123,Interaction,35,2,1,4130627895,6,7,1,True,False
1754923948,224,Interaction,43,-2,-1,4135790628,3,5,0,False,False
1754923969,133,Interaction,43,2,1,5346208971,7,9,2,False,False
1754923984,232,Interaction,43,-2,-1,1402769853,1,4,0,False,False
1754923999,213,Interaction,40,0,0,8497016253,7,2,-1,True,False
1754924011,222,Interaction,42,-1,-1,3147862950,5,6,1,False,False
1754924042,123,Interaction,32,-1,-1,4173062895,0,4,0,True,False
1754924043,131,Interaction,36,-1,-1,1503789264,0,1,-2,False,False
1754924058,111,Interaction,35,0,0,4159802673,9,3,-1,False,False
1754924063,122,Interaction,37,2,1,5149876302,2,4,0,False,False
1754924132,233,Interaction,42,-2,-1,5183046297,4,0,-2,False,False
1754924137,122,Interaction,35,2,1,5419876302,3,9,2,True,False
1754924146,112,Interaction,40,1,1,4256380197,9,7,1,False,False
1754924151,132,Interaction,44,2,1,4571829630,3,1,-2,False,False
1754924194,134,Interaction,41,-2,-1,4210789356,2,1,-2,False,False
1754924197,214,Interaction,36,1,1,4678321950,8,5,0,False,False
1754924227,213,Interaction,44,2,1,6849701253,5,0,-2,False,False
1754924257,121,Interaction,42,-2,-1,5204697381,0,5,0,False,False
1754924269,124,Interaction,38,1,1,6921354087,3,1,-2,False,False
1754924272,114,Interaction,40,0,0,1273509648,0,1,-2,False,False
1754924316,231,Interaction,44,2,1,7024958163,7,1,-2,False,False
1754924317,223,Interaction,41,1,1,3481602579,0,3,-1,True,False
1754924370,134,Interaction,42,-2,-1,4120789356,4,7,1,False,False
1754924388,234,Interaction,44,2,1,1378529046,8,4,0,False,False
1754924405,212,Interaction,45,-2,-1,2416987035,9,5,0,False,False
1754924473,132,Interaction,41,1,1,1457829630,2,5,0,True,False
1754924499,234,Interaction,45,1,1,1437852906,0,1,-2,False,False
1754924521,231,Interaction,47,2,1,7102495863,0,7,1,True,False
1754924524,224,Interaction,49,-2,-1,5413790628,6,0,-2,True,False
1754924525,221,Interaction,41,-2,-1,4627580319,3,7,1,True,False
1754924555,211,Interaction,37,1,1,9846210573,9,3,-1,False,False
1754924582,133,Interaction,38,0,0,5394620871,1,3,-1,False,False
1754924602,212,Interaction,50,1,1,9416870325,5,7,1,True,False
1754924637,131,Interaction,45,2,1,1503789264,1,5,0,False,False
1754924652,113,Interaction,46,1,1,2879463150,2,7,1,True,False
1754924684,211,Interaction,53,-2,-1,6142085973,6,5,0,False,False
1754924699,123,Interaction,45,2,1,4173062895,3,3,-1,False,False
1754924715,233,Interaction,50,2,1,3541682907,7,9,2,False,False
1754924725,134,Interaction,51,-2,-1,4127089356,5,8,2,False,False
1754924727,112,Interaction,49,-2,-1,4257638019,5,3,-1,True,False
1754924732,124,Interaction,37,-2,-1,1692354087,3,2,-1,True,False
1754924753,213,Interaction,52,-2,-1,0458971623,9,3,-1,True,False
1754924754,223,Interaction,53,-2,-1,0348162579,0,0,-2,False,False
1754924754,222,Interaction,47,-2,-1,3146782950,0,3,-1,False,False
1754924765,214,Interaction,48,-2,-1,9042567831,9,1,-2,True,False
1754924796,124,Interaction,53,-2,-1,2169354087,5,5,0,False,False
1754924809,111,Interaction,50,1,1,4153980267,0,4,0,False,False
1754924829,222,Interaction,53,-2,-1,3146782950,9,0,-2,False,False
1754924845,231,Interaction,52,-2,-1,4295871603,3,5,0,True,False
1754924856,134,Interaction,47,-1,-1,4127809356,2,2,-1,True,False
1754924882,224,Interaction,50,1,1,1274906385,9,5,0,True,False
1754924882,122,Interaction,51,-2,-1,5491876302,0,5,0,True,False
1754924927,113,Interaction,49,-2,-1,7289463150,1,2,-1,False,False
1754924946,234,Interaction,55,0,0,5371829046,7,0,-2,False,False
1754924961,232,Interaction,52,-2,-1,1402769853,3,2,-1,True,False
1754924980,231,Interaction,51,-2,-1,4529871603,9,3,-1,False,False
1754924981,213,Interaction,37,2,1,6084971253,0,6,1,True,False
1754924984,131,Interaction,54,2,1,1503789264,4,7,1,True,False
1754925005,133,Interaction,55,0,0,3594620871,0,3,-1,False,False
1754925026,122,Interaction,54,2,1,5491876302,5,7,1,True,False
1754925027,233,Interaction,47,-1,-1,0518346297,3,8,2,False,False
