seed,partition,num_news,popularity
111,-1,0,10.08
111,-1,1,16.060000000000002
111,-1,2,19.05
111,-1,3,33.01
111,-1,4,77.07
111,-1,5,28.03
111,-1,6,29.04
111,-1,7,17.02
111,-1,8,16.09
111,-1,9,7.0
111,0,0,10.08
111,0,1,16.060000000000002
111,0,2,19.05
111,0,3,33.01
111,0,4,77.07
111,0,5,28.03
111,0,6,29.04
111,0,7,17.02
111,0,8,16.09
111,0,9,7.0
111,1,0,10.08
111,1,1,16.060000000000002
111,1,2,19.05
111,1,3,33.01
111,1,4,77.07
111,1,5,28.03
111,1,6,29.04
111,1,7,17.02
111,1,8,16.09
111,1,9,7.0
112,-1,0,11.05
112,-1,1,7.04
112,-1,2,54.08
112,-1,3,14.07
112,-1,4,61.019999999999996
112,-1,5,31.03
112,-1,6,18.09
112,-1,7,23.0
112,-1,8,15.06
112,-1,9,18.009999999999998
112,0,0,11.05
112,0,1,7.04
112,0,2,54.08
112,0,3,14.07
112,0,4,61.019999999999996
112,0,5,31.03
112,0,6,18.09
112,0,7,23.0
112,0,8,15.06
112,0,9,18.009999999999998
112,1,0,11.05
112,1,1,7.04
112,1,2,54.08
112,1,3,14.07
112,1,4,61.019999999999996
112,1,5,31.03
112,1,6,18.09
112,1,7,23.0
112,1,8,15.06
112,1,9,18.009999999999998
113,-1,0,25.0
113,-1,1,7.02
113,-1,2,44.08
113,-1,3,18.03
113,-1,4,48.07
113,-1,5,34.01
113,-1,6,31.060000000000002
113,-1,7,14.09
113,-1,8,16.05
113,-1,9,16.04
113,0,0,25.0
113,0,1,7.02
113,0,2,44.08
113,0,3,18.03
113,0,4,48.07
113,0,5,34.01
113,0,6,31.060000000000002
113,0,7,14.09
113,0,8,16.05
113,0,9,16.04
113,1,0,25.0
113,1,1,7.02
113,1,2,44.08
113,1,3,18.03
113,1,4,48.07
113,1,5,34.01
113,1,6,31.060000000000002
113,1,7,14.09
113,1,8,16.05
113,1,9,16.04
114,-1,0,15.0
114,-1,1,72.09
114,-1,2,36.07
114,-1,3,15.02
114,-1,4,28.04
114,-1,5,37.01
114,-1,6,9.06
114,-1,7,17.05
114,-1,8,14.030000000000001
114,-1,9,10.08
114,0,0,15.0
114,0,1,72.09
114,0,2,36.07
114,0,3,15.02
114,0,4,28.04
114,0,5,37.01
114,0,6,9.06
114,0,7,17.05
114,0,8,14.030000000000001
114,0,9,10.08
114,1,0,15.0
114,1,1,72.09
114,1,2,36.07
114,1,3,15.02
114,1,4,28.04
114,1,5,37.01
114,1,6,9.06
114,1,7,17.05
114,1,8,14.030000000000001
