participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.completionlink,session.config.participation_fee,session._events_loaded,session.start_time,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.initialized_round,my_survey_static.1.player.time_start_round,my_survey_static.1.player.assigned_seed,my_survey_static.1.player.seed,my_survey_static.1.player.round_time_left,my_survey_static.1.player.round_timed_out,my_survey_static.1.player.waited_n_refresh,my_survey_static.1.player.topic_number,my_survey_static.1.player.interacted_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.partition_user,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.initialized_round,my_survey_static.2.player.time_start_round,my_survey_static.2.player.assigned_seed,my_survey_static.2.player.seed,my_survey_static.2.player.round_time_left,my_survey_static.2.player.round_timed_out,my_survey_static.2.player.waited_n_refresh,my_survey_static.2.player.topic_number,my_survey_static.2.player.interacted_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.partition_user,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.initialized_round,my_survey_static.3.player.time_start_round,my_survey_static.3.player.assigned_seed,my_survey_static.3.player.seed,my_survey_static.3.player.round_time_left,my_survey_static.3.player.round_timed_out,my_survey_static.3.player.waited_n_refresh,my_survey_static.3.player.topic_number,my_survey_static.3.player.interacted_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.partition_user,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.initialized_round,my_survey_static.4.player.time_start_round,my_survey_static.4.player.assigned_seed,my_survey_static.4.player.seed,my_survey_static.4.player.round_time_left,my_survey_static.4.player.round_timed_out,my_survey_static.4.player.waited_n_refresh,my_survey_static.4.player.topic_number,my_survey_static.4.player.interacted_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.partition_user,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,gxrftam6,577418.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:06:36.267009,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,1,,0.0,577418,1,1755108396.32,1,111.0,801.0,0,0.0,1.0,1.0,-2.0,11.8,-1.0,1.0,6.64,4316857029.0,0.0,14.0,0.0,15.53,3.0,1.0,67.85,2.0,0.0,6.62,1,1,1,,0.0,577418,1,1755108505.39,1,232.0,809.0,0,0.0,2.0,12.0,-2.0,7.41,-1.0,1.0,5.07,2140536978.0,1.0,21.0,-2.0,9.55,3.0,1.0,70.58,1.0,0.0,3.2,1,2,1,,0.0,577418,1,1755108601.51,1,213.0,814.0,0,0.0,3.0,123.0,-2.0,9.66,-1.0,1.0,32.96,523149768.0,8.0,36.0,1.0,7.63,3.0,1.0,38.28,0.0,0.0,2.67,1,3,1,,0.0,577418,1,1755108692.99,1,234.0,849.0,0,0.0,4.0,1234.0,-1.0,7.59,-1.0,1.0,1.72,1245307698.0,1.0,42.0,-1.0,12.94,3.0,1.0,31.66,-1.0,0.0,5.88,1,4,1,,0.0,Independent,,Democrat Party,1,1,1,,0.0,25-34,Female,,,1,1
2,apjzv3qu,352880.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:06:48.269794,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,2,,0.0,352880,1,1755108408.35,1,124.0,798.0,0,0.0,4.0,4.0,0.0,14.15,0.0,1.0,12.84,2136594870.0,8.0,47.0,1.0,20.08,3.0,1.0,56.95,0.0,1.0,61.87,1,1,2,,0.0,352880,1,1755108575.09,1,211.0,844.0,0,0.0,1.0,41.0,1.0,8.19,1.0,1.0,10.79,9173864520.0,6.0,14.0,0.0,9.39,3.0,1.0,29.03,2.0,0.0,5.76,1,2,2,,0.0,352880,1,1755108639.09,1,233.0,849.0,0,0.0,3.0,413.0,0.0,9.68,0.0,1.0,12.29,6940518237.0,3.0,30.0,-2.0,4.42,3.0,1.0,26.2,2.0,0.0,11.03,1,3,2,,0.0,352880,1,1755108703.55,1,132.0,832.0,0,0.0,2.0,4132.0,-1.0,12.17,-1.0,1.0,4.61,5471208396.0,4.0,22.0,-1.0,5.66,3.0,1.0,47.38,-1.0,0.0,11.63,1,4,2,,0.0,Republican,Moderate,,1,1,2,,0.0,35-44,Female,,,1,1
3,7s7zo0gq,646835.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:08.177725,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,3,,0.0,646835,1,1755108428.36,1,112.0,670.0,0,0.0,2.0,2.0,2.0,18.46,1.0,1.0,34.03,4265309781.0,0.0,24.0,0.0,66.15,3.0,1.0,112.53,-1.0,1.0,23.27,1,1,3,,0.0,646835,1,1755108683.72,1,113.0,708.0,0,0.0,3.0,23.0,2.0,34.46,1.0,1.0,10.1,2465708931.0,8.0,33.0,-1.0,42.41,3.0,1.0,106.31,-1.0,0.0,8.96,1,2,3,,0.0,646835,1,1755108886.3,1,234.0,751.0,0,0.0,4.0,234.0,0.0,15.99,0.0,1.0,3.25,1542803796.0,9.0,46.0,1.0,42.82,3.0,1.0,89.51,1.0,0.0,9.1,1,3,3,,0.0,646835,1,1755109047.34,1,131.0,823.0,0,0.0,1.0,2341.0,1.0,18.66,1.0,1.0,2.73,1453078269.0,1.0,14.0,0.0,24.08,3.0,1.0,33.45,-1.0,0.0,4.77,1,4,3,,0.0,Republican,Moderate,,1,1,3,,0.0,55-64,Female,,,1,1
4,xnrwwdrg,178576.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:13.500253,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,4,,0.0,178576,1,1755108433.9,1,133.0,656.0,0,0.0,3.0,3.0,-2.0,104.83,-1.0,1.0,19.56,4530962781.0,3.0,30.0,-2.0,44.21,3.0,1.0,77.63,-1.0,1.0,29.07,1,1,4,,0.0,178576,1,1755108709.89,1,221.0,818.0,0,0.0,1.0,31.0,-2.0,5.7,-1.0,1.0,7.64,6452713980.0,6.0,13.0,-1.0,24.7,3.0,1.0,46.74,-1.0,0.0,11.13,1,2,4,,0.0,178576,1,1755108806.45,1,232.0,793.0,0,0.0,2.0,312.0,-2.0,8.57,-1.0,1.0,2.08,2140536978.0,3.0,20.0,-2.0,11.28,0.0,1.0,86.88,-2.0,0.0,3.37,1,3,4,,0.0,178576,1,1755108919.72,1,214.0,746.0,0,0.0,4.0,3124.0,-2.0,3.53,-1.0,1.0,1.35,5198042367.0,6.0,42.0,-1.0,18.8,0.0,1.0,132.08,-2.0,1.0,9.5,1,4,4,,0.0,Independent,,Democrat Party,1,1,4,,0.0,18-24,Male,,,1,1
5,r11i0ata,680007.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:13.713001,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,5,,0.0,680007,1,1755108434.09,1,214.0,796.0,0,0.0,4.0,4.0,-1.0,11.95,-1.0,1.0,17.91,5198042367.0,0.0,45.0,0.0,45.62,0.0,1.0,31.23,0.0,1.0,19.86,1,1,5,,0.0,680007,1,1755108561.28,1,223.0,822.0,0,0.0,3.0,43.0,0.0,13.9,0.0,1.0,8.24,4581360279.0,0.0,34.0,0.0,8.63,1.0,1.0,49.82,0.0,0.0,8.72,1,2,5,,0.0,680007,1,1755108650.86,1,111.0,779.0,0,0.0,1.0,431.0,-1.0,6.4,-1.0,1.0,8.02,4316857029.0,5.0,15.0,0.0,33.38,2.0,1.0,74.87,0.0,0.0,2.52,1,3,5,,0.0,680007,1,1755108776.25,1,222.0,857.0,0,0.0,2.0,4312.0,-2.0,7.66,-1.0,1.0,5.35,2134086597.0,3.0,24.0,0.0,6.92,3.0,1.0,25.93,0.0,0.0,5.32,1,4,5,,0.0,Independent,,Democrat Party,1,1,5,,0.0,25-34,Male,,,1,1
6,pnn5pip6,496088.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:16.096394,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,6,,0.0,496088,1,1755108436.53,1,231.0,796.0,0,0.0,1.0,1.0,-2.0,14.7,-1.0,1.0,13.66,4530218769.0,4.0,12.0,-1.0,38.17,0.0,1.0,39.34,-2.0,1.0,25.85,1,1,6,,0.0,496088,1,1755108569.44,1,124.0,833.0,0,0.0,4.0,14.0,-2.0,4.05,-1.0,1.0,7.26,2136579480.0,9.0,40.0,-2.0,28.85,0.0,1.0,28.01,-2.0,0.0,23.02,1,2,6,,0.0,496088,1,1755108661.23,1,122.0,825.0,0,0.0,2.0,142.0,1.0,20.13,1.0,1.0,2.75,5214903876.0,3.0,24.0,0.0,21.18,2.0,1.0,32.06,0.0,0.0,13.78,1,3,6,,0.0,496088,1,1755108751.83,1,123.0,842.0,0,0.0,3.0,1423.0,-2.0,6.09,-1.0,1.0,4.4,4306127589.0,2.0,30.0,-2.0,23.41,3.0,1.0,25.38,-2.0,0.0,9.27,1,4,6,,0.0,Democrat,Strong,,1,1,6,,0.0,45-54,Male,,,1,1
7,ii8mcdav,872934.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:36.924955,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,7,,0.0,872934,1,1755108457.12,1,113.0,816.0,0,0.0,3.0,3.0,2.0,11.94,1.0,1.0,6.33,2465708931.0,5.0,30.0,-2.0,26.47,3.0,1.0,41.2,1.0,1.0,49.19,1,1,7,,0.0,872934,1,1755108592.82,1,121.0,812.0,0,0.0,1.0,31.0,2.0,8.92,1.0,1.0,5.12,5467302981.0,2.0,16.0,1.0,30.8,3.0,1.0,45.75,1.0,0.0,11.58,1,2,7,,0.0,872934,1,1755108695.72,1,232.0,856.0,0,0.0,2.0,312.0,2.0,5.4,1.0,1.0,2.65,7548091623.0,1.0,25.0,0.0,13.6,3.0,1.0,24.77,0.0,0.0,5.92,1,3,7,,0.0,872934,1,1755108748.66,1,124.0,836.0,0,0.0,4.0,3124.0,2.0,4.82,1.0,1.0,2.54,2136579480.0,0.0,42.0,-1.0,30.02,3.0,1.0,28.37,0.0,0.0,4.08,1,4,7,,0.0,Republican,Strong,,1,1,7,,0.0,35-44,Male,,,1,1
8,5ue4rbvf,962014.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:38.350594,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,8,,0.0,962014,1,1755108458.41,1,212.0,574.0,0,0.0,2.0,2.0,-2.0,19.73,-1.0,1.0,18.41,3254601897.0,2.0,25.0,0.0,22.63,2.0,1.0,267.84,-1.0,1.0,82.94,1,1,8,,0.0,962014,1,1755108870.34,1,211.0,701.0,0,0.0,1.0,21.0,-1.0,29.3,-1.0,1.0,15.15,6314507289.0,2.0,11.0,-2.0,67.74,2.0,1.0,88.43,-2.0,0.0,25.7,1,2,8,,0.0,962014,1,1755109097.11,1,123.0,759.0,0,0.0,3.0,213.0,-2.0,26.58,-1.0,1.0,16.32,4036127589.0,2.0,33.0,-1.0,36.85,2.0,1.0,63.61,-1.0,1.0,103.69,1,3,8,,0.0,962014,1,1755109344.56,1,234.0,819.0,0,0.0,4.0,2134.0,-2.0,21.22,-1.0,1.0,4.94,1245307698.0,0.0,41.0,-2.0,24.25,2.0,1.0,32.34,-1.0,1.0,82.11,1,4,8,,0.0,Democrat,Moderate,,1,1,8,,0.0,65+,Female,,,1,1
9,gc5w25sr,754186.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:07:55.439343,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,9,,0.0,754186,1,1755108475.5,1,131.0,802.0,0,0.0,1.0,1.0,0.0,43.26,0.0,1.0,7.64,1453072869.0,7.0,18.0,2.0,42.92,3.0,0.0,6.53,1.0,0.0,17.67,1,1,9,,0.0,754186,1,1755108593.96,1,214.0,782.0,0,0.0,4.0,14.0,0.0,21.2,0.0,1.0,9.83,7465832190.0,6.0,42.0,-1.0,84.19,3.0,0.0,4.57,1.0,0.0,8.32,1,2,9,,0.0,754186,1,1755108722.41,1,133.0,817.0,0,0.0,3.0,143.0,0.0,53.06,0.0,1.0,3.65,4503962781.0,9.0,31.0,-2.0,23.76,3.0,0.0,4.48,2.0,0.0,85.1,1,3,9,,0.0,754186,1,1755108893.85,1,122.0,840.0,0,0.0,2.0,1432.0,-1.0,7.52,-1.0,1.0,4.93,5214903876.0,1.0,22.0,-1.0,29.67,3.0,0.0,20.4,2.0,0.0,2.68,1,4,9,,0.0,Independent,,Center,1,1,9,,0.0,45-54,Female,,,1,1
10,ncc27shs,775980.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-13 18:08:40.571356,1,,,0.0,fiemgs3f,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=CNFR9KML,0.0,1,1755108128.0020251,10,,0.0,775980,1,1755108520.86,1,134.0,475.0,0,0.0,4.0,4.0,0.0,83.01,0.0,1.0,73.22,1542078963.0,9.0,43.0,-1.0,78.92,0.0,1.0,191.51,0.0,0.0,7.02,1,1,10,,0.0,775980,1,1755108956.06,1,111.0,818.0,0,0.0,1.0,41.0,0.0,7.48,0.0,1.0,3.78,4316587029.0,4.0,15.0,0.0,62.92,0.0,0.0,10.13,0.0,0.0,4.74,1,2,10,,0.0,775980,1,1755109047.05,1,233.0,827.0,0,0.0,3.0,413.0,0.0,3.5,0.0,1.0,3.42,6940518237.0,2.0,34.0,0.0,57.94,0.0,0.0,10.7,0.0,0.0,3.56,1,3,10,,0.0,775980,1,1755109127.58,1,232.0,858.0,0,0.0,2.0,4132.0,0.0,4.93,0.0,1.0,2.69,4576092813.0,1.0,25.0,0.0,31.62,0.0,0.0,5.19,0.0,0.0,4.61,1,4,10,,0.0,Independent,,Center,1,1,10,,0.0,45-54,Female,,,1,1
