participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.completionlink,session.config.name,session.config.real_world_currency_per_point,session._events_loaded,session.start_time,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.initialized_round,my_survey_static.1.player.time_start_round,my_survey_static.1.player.assigned_seed,my_survey_static.1.player.seed,my_survey_static.1.player.round_time_left,my_survey_static.1.player.round_timed_out,my_survey_static.1.player.waited_n_refresh,my_survey_static.1.player.topic_number,my_survey_static.1.player.interacted_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.partition_user,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.initialized_round,my_survey_static.2.player.time_start_round,my_survey_static.2.player.assigned_seed,my_survey_static.2.player.seed,my_survey_static.2.player.round_time_left,my_survey_static.2.player.round_timed_out,my_survey_static.2.player.waited_n_refresh,my_survey_static.2.player.topic_number,my_survey_static.2.player.interacted_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.partition_user,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.initialized_round,my_survey_static.3.player.time_start_round,my_survey_static.3.player.assigned_seed,my_survey_static.3.player.seed,my_survey_static.3.player.round_time_left,my_survey_static.3.player.round_timed_out,my_survey_static.3.player.waited_n_refresh,my_survey_static.3.player.topic_number,my_survey_static.3.player.interacted_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.partition_user,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.initialized_round,my_survey_static.4.player.time_start_round,my_survey_static.4.player.assigned_seed,my_survey_static.4.player.seed,my_survey_static.4.player.round_time_left,my_survey_static.4.player.round_timed_out,my_survey_static.4.player.waited_n_refresh,my_survey_static.4.player.topic_number,my_survey_static.4.player.interacted_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.partition_user,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,q6fm4t7r,663092.0,0,14,30,my_survey_static,Positioning,2025-08-19 10:56:44.050209,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,1,,0.0,663092,1,1755601004.16,1,114.0,,1,0.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,1,1,1,,0.0,663092,1,1755601911.63,1,112.0,,1,0.0,2.0,42.0,0.0,,,,,,,,,,,,,,,,1,2,1,,0.0,663092,1,1755602819.08,1,221.0,,0,0.0,1.0,421.0,,,,,,,,,,,,,,,,,1,3,1,,0.0, ,0,,0,,,0,,,,,,,,,,,,,,,,,,,,1,4,1,,0.0,,,,1,1,1,,0.0,,,,,1,1
2,j8ymhizt,200850.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:56:47.507861,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,2,,0.0,200850,1,1755601007.8,1,133.0,631.0,0,0.0,3.0,3.0,0.0,203.09,0.0,1.0,9.62,4035972681.0,4.0,39.0,2.0,30.16,2.0,0.0,27.02,-1.0,1.0,11.96,1,1,2,,0.0,200850,1,1755601291.2,1,132.0,867.0,0,0.0,2.0,32.0,-1.0,16.14,-1.0,1.0,3.98,4521790863.0,4.0,27.0,1.0,9.79,1.0,1.0,5.79,-1.0,1.0,6.65,1,2,2,,0.0,200850,1,1755601335.04,1,131.0,873.0,0,0.0,1.0,321.0,-2.0,15.54,-1.0,1.0,4.53,4153270689.0,0.0,14.0,0.0,2.5,0.0,1.0,6.54,0.0,1.0,18.74,1,3,2,,0.0,200850,1,1755601384.45,1,234.0,879.0,0,0.0,4.0,3214.0,-2.0,8.93,-1.0,1.0,4.03,1235470698.0,3.0,45.0,0.0,3.93,2.0,1.0,6.08,-1.0,1.0,4.59,1,4,2,,0.0,Democrat,Strong,,1,1,2,,0.0,35-44,Female,,,1,1
3,y6na9ve1,869863.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:57:22.975566,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,3,,0.0,869863,1,1755601043.05,1,122.0,588.0,0,0.0,2.0,2.0,-1.0,10.5,-1.0,1.0,21.09,5241089736.0,1.0,22.0,-1.0,12.78,3.0,1.0,269.52,2.0,1.0,42.63,1,1,3,,0.0,869863,1,1755601400.01,1,231.0,600.0,0,0.0,1.0,21.0,1.0,12.5,1.0,1.0,12.61,8472953610.0,5.0,15.0,0.0,14.95,3.0,1.0,262.88,-1.0,1.0,22.79,1,2,3,,0.0,869863,1,1755601726.13,1,133.0,697.0,0,0.0,3.0,213.0,2.0,13.03,1.0,1.0,4.74,4039576281.0,2.0,33.0,-1.0,9.3,3.0,1.0,177.65,2.0,0.0,8.65,1,3,3,,0.0,869863,1,1755601939.88,1,214.0,661.0,0,0.0,4.0,2134.0,-1.0,7.61,-1.0,1.0,14.63,1502348967.0,2.0,40.0,-2.0,10.02,3.0,1.0,208.35,2.0,0.0,7.0,1,4,3,,0.0,Democrat,Strong,,1,1,3,,0.0,65+,Female,,,1,1
4,8uxeh1ni,615422.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:58:09.820431,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,4,,0.0,615422,1,1755601090.01,1,111.0,872.0,0,0.0,1.0,1.0,0.0,12.37,0.0,1.0,2.73,4365218709.0,0.0,14.0,0.0,9.77,3.0,0.0,5.32,-1.0,0.0,14.16,1,1,4,,0.0,615422,1,1755601135.29,1,123.0,875.0,0,0.0,3.0,13.0,1.0,11.28,1.0,1.0,4.46,4035769218.0,1.0,30.0,-2.0,4.03,0.0,1.0,6.81,0.0,0.0,7.58,1,2,4,,0.0,615422,1,1755601170.45,1,124.0,879.0,0,0.0,4.0,134.0,0.0,7.87,0.0,1.0,2.35,2143685709.0,1.0,41.0,-2.0,7.51,3.0,1.0,5.84,-1.0,0.0,14.55,1,3,4,,0.0,615422,1,1755601209.56,1,232.0,887.0,0,0.0,2.0,1342.0,1.0,4.41,1.0,1.0,3.98,7598046213.0,6.0,26.0,1.0,2.95,0.0,1.0,4.04,0.0,0.0,5.9,1,4,4,,0.0,Independent,,Republican Party,1,1,4,,0.0,35-44,Female,,,1,1
5,ig5mor7k,687061.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:58:33.308569,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,5,,0.0,687061,1,1755601113.72,1,214.0,671.0,0,0.0,4.0,4.0,-2.0,31.4,-1.0,1.0,22.16,1503248967.0,4.0,42.0,-1.0,37.51,2.0,1.0,139.93,-2.0,0.0,20.91,1,1,5,,0.0,687061,1,1755601367.75,1,122.0,792.0,0,0.0,2.0,42.0,-2.0,15.77,-1.0,1.0,12.32,5241089736.0,1.0,22.0,-1.0,42.48,0.0,1.0,39.09,-1.0,0.0,12.39,1,2,5,,0.0,687061,1,1755601491.84,1,221.0,807.0,0,0.0,1.0,421.0,-2.0,13.07,-1.0,1.0,4.61,6543201789.0,3.0,13.0,-1.0,39.96,2.0,1.0,37.84,-2.0,0.0,15.49,1,3,5,,0.0,687061,1,1755601604.85,1,213.0,754.0,0,0.0,3.0,4213.0,0.0,44.05,0.0,1.0,3.13,247936815.0,2.0,34.0,0.0,40.45,3.0,1.0,59.18,1.0,0.0,11.32,1,4,5,,0.0,Republican,Moderate,,1,1,5,,0.0,55-64,Male,,,1,1
6,k27shg4z,308011.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:58:51.900760,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,6,,0.0,308011,1,1755601131.97,1,211.0,556.0,0,0.0,1.0,1.0,-1.0,58.69,-1.0,1.0,33.89,6302415789.0,5.0,11.0,-2.0,74.53,3.0,1.0,179.83,0.0,0.0,20.55,1,1,6,,0.0,308011,1,1755601500.42,1,224.0,645.0,0,0.0,4.0,14.0,-2.0,24.51,-1.0,1.0,8.31,1203546798.0,9.0,48.0,2.0,60.07,3.0,1.0,163.38,2.0,0.0,6.86,1,2,6,,0.0,308011,1,1755601764.02,1,222.0,727.0,0,0.0,2.0,142.0,-2.0,15.82,-1.0,1.0,4.29,2143089567.0,2.0,24.0,0.0,30.04,3.0,1.0,124.44,0.0,0.0,10.21,1,3,6,,0.0,308011,1,1755601949.26,1,213.0,791.0,0,0.0,3.0,1423.0,-2.0,6.34,-1.0,1.0,2.09,523471869.0,0.0,30.0,-2.0,5.45,3.0,1.0,96.23,0.0,0.0,11.69,1,4,6,,0.0,Democrat,Strong,,1,1,6,,0.0,35-44,Male,,,1,1
7,k47kv2ew,425690.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:58:54.478351,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,7,,0.0,425690,1,1755601134.56,1,131.0,721.0,0,0.0,1.0,1.0,2.0,24.29,1.0,1.0,75.07,4153270689.0,0.0,14.0,0.0,35.75,3.0,1.0,45.65,-2.0,0.0,8.42,1,1,7,,0.0,425690,1,1755601324.34,1,224.0,821.0,0,0.0,4.0,14.0,1.0,19.91,1.0,1.0,2.6,6875149203.0,1.0,48.0,2.0,18.49,0.0,0.0,40.4,2.0,0.0,5.22,1,2,7,,0.0,425690,1,1755601411.43,1,222.0,784.0,0,0.0,2.0,142.0,2.0,11.4,1.0,1.0,2.7,4785931062.0,0.0,24.0,0.0,23.12,3.0,1.0,80.17,0.0,0.0,3.8,1,3,7,,0.0,425690,1,1755601533.91,1,113.0,736.0,0,0.0,3.0,1423.0,2.0,4.22,1.0,1.0,2.34,2465083791.0,0.0,32.0,-1.0,40.58,0.0,1.0,118.47,1.0,0.0,11.29,1,4,7,,0.0,Republican,Strong,,1,1,7,,0.0,25-34,Female,,,1,1
8,hqvuyytg,368805.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:58:55.707378,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,8,,0.0,368805,1,1755601135.97,1,112.0,705.0,0,0.0,2.0,2.0,2.0,40.19,1.0,1.0,28.82,4256978301.0,2.0,25.0,0.0,103.99,0.0,0.0,24.17,-1.0,0.0,12.46,1,1,8,,0.0,368805,1,1755601347.14,1,214.0,840.0,0,0.0,4.0,24.0,-2.0,24.03,-1.0,1.0,2.52,1502348967.0,3.0,42.0,-1.0,6.56,2.0,0.0,28.8,-1.0,0.0,5.89,1,2,8,,0.0,368805,1,1755601416.35,1,121.0,822.0,0,0.0,1.0,241.0,-2.0,26.71,-1.0,1.0,6.08,5436701298.0,6.0,11.0,-2.0,10.6,2.0,0.0,36.24,0.0,0.0,4.6,1,3,8,,0.0,368805,1,1755601502.39,1,223.0,842.0,0,0.0,3.0,2413.0,1.0,17.94,1.0,1.0,9.8,9386410752.0,0.0,39.0,2.0,2.69,0.0,0.0,30.32,0.0,0.0,7.75,1,4,8,,0.0,Republican,Moderate,,1,1,8,,0.0,35-44,Male,,,1,1
9,kk8fklvy,170529.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:59:07.121476,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,9,,0.0,170529,1,1755601147.41,1,234.0,685.0,0,0.0,4.0,4.0,2.0,82.83,1.0,1.0,36.79,8764152093.0,2.0,46.0,1.0,27.1,2.0,1.0,70.25,2.0,1.0,36.7,1,1,9,,0.0,170529,1,1755601404.57,1,111.0,801.0,0,0.0,1.0,41.0,2.0,26.57,1.0,1.0,11.82,4365218709.0,9.0,19.0,2.0,13.85,2.0,1.0,49.85,2.0,0.0,4.97,1,2,9,,0.0,170529,1,1755601513.14,1,212.0,846.0,0,0.0,2.0,412.0,2.0,2.62,1.0,1.0,6.04,9587261403.0,4.0,22.0,-1.0,40.34,2.0,1.0,6.7,2.0,1.0,4.26,1,3,9,,0.0,170529,1,1755601574.67,1,133.0,803.0,0,0.0,3.0,4123.0,2.0,35.27,1.0,1.0,12.21,4039572681.0,7.0,36.0,1.0,43.04,2.0,0.0,7.92,2.0,0.0,6.49,1,4,9,,0.0,Republican,Strong,,1,1,9,,0.0,25-34,Male,,,1,1
10,y6ty558o,852928.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-19 10:59:15.878931,1,,,0.0,ouhdin6p,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=CZT5FXFI,My_survey_static,1.0,1,1755600842.9071755,10,,0.0,852928,1,1755601156.02,1,212.0,739.0,0,0.0,2.0,2.0,-1.0,32.18,-1.0,1.0,14.16,3250461789.0,9.0,29.0,2.0,50.62,3.0,0.0,65.03,0.0,0.0,34.68,1,1,10,,0.0,852928,1,1755601353.91,1,113.0,816.0,0,0.0,3.0,23.0,-2.0,11.52,-1.0,1.0,10.65,2465083791.0,3.0,35.0,0.0,39.19,3.0,0.0,24.49,0.0,0.0,8.26,1,2,10,,0.0,852928,1,1755601449.68,1,124.0,799.0,0,0.0,4.0,234.0,-2.0,14.28,-1.0,1.0,7.05,2143685709.0,1.0,41.0,-2.0,42.26,3.0,0.0,38.49,-1.0,0.0,14.39,1,3,10,,0.0,852928,1,1755601567.95,1,111.0,807.0,0,0.0,1.0,2341.0,-2.0,9.99,-1.0,1.0,6.74,4365218709.0,2.0,16.0,1.0,53.1,3.0,0.0,25.47,0.0,0.0,24.02,1,4,10,,0.0,Democrat,Moderate,,1,1,10,,0.0,55-64,Female,,,1,1
