PID,group,id_in_group,role,payoff,participant_label,initialized_round,time_start_round,assigned_seed,seed,round_time_left,round_timed_out,waited_n_refresh,topic_number,interacted_topics,positioning_user,time_positioning,partition_user,I_understand,time_taskexplaination,tmp_ranking,click_rank,click_id,positioning_true,time_rankig,highlight,read_more_highlight,time_highlight,positioning_text,read_more_positioning,time_positioning_text,group.id_in_subsession,turn,leaning,leaning_strength,center_strength,age,gender,gender_open,comment
P1,1,1,,0.0,806581.0,1.0,1755616841.79,1.0,124.0,811.0,0.0,0.0,4.0,4.0,-2.0,12.58,-1.0,1.0,3.53,2143685790.0,0.0,42.0,-1.0,20.82,0.0,1.0,54.74,-1.0,0.0,39.74,1,1,,,,,,,
P2,1,2,,0.0,256829.0,1.0,1755616891.62,1.0,132.0,759.0,0.0,0.0,2.0,2.0,-2.0,21.25,-1.0,1.0,20.0,4527109863.0,0.0,24.0,0.0,34.73,3.0,1.0,66.53,0.0,0.0,15.17,1,1,,,,,,,
P3,1,3,,0.0,481107.0,1.0,1755616895.86,1.0,231.0,713.0,0.0,0.0,1.0,1.0,-1.0,21.37,-1.0,1.0,15.78,4235017869.0,0.0,14.0,0.0,53.17,3.0,1.0,98.69,-1.0,1.0,24.23,1,1,,,,,,,
P4,1,4,,0.0,504061.0,1.0,1755616927.73,1.0,113.0,782.0,0.0,0.0,3.0,3.0,0.0,9.2,0.0,1.0,8.32,2465083971.0,4.0,30.0,-2.0,76.21,3.0,1.0,25.08,2.0,0.0,5.4,1,1,,,,,,,
P5,1,5,,0.0,568367.0,1.0,1755616931.87,1.0,222.0,780.0,0.0,0.0,2.0,2.0,-2.0,17.75,-1.0,1.0,17.31,2134058967.0,6.0,28.0,2.0,37.55,3.0,0.0,49.66,0.0,0.0,12.48,1,1,,,,,,,
P6,1,6,,0.0,701727.0,1.0,1755616933.92,1.0,234.0,823.0,0.0,0.0,4.0,4.0,-2.0,18.46,-1.0,1.0,16.22,1235407698.0,0.0,41.0,-2.0,14.14,2.0,0.0,29.26,0.0,1.0,43.95,1,1,,,,,,,
P7,1,7,,0.0,534098.0,1.0,1755616944.84,1.0,124.0,766.0,0.0,0.0,4.0,4.0,2.0,18.84,1.0,1.0,28.5,2143685790.0,9.0,40.0,-2.0,47.57,3.0,0.0,41.37,-2.0,0.0,13.34,1,1,,,,,,,
P8,1,8,,0.0,658807.0,1.0,1755616961.39,1.0,233.0,712.0,0.0,0.0,3.0,3.0,-2.0,18.03,-1.0,1.0,20.93,5041283679.0,2.0,34.0,0.0,41.02,3.0,1.0,109.85,0.0,0.0,12.59,1,1,,,,,,,
P9,1,9,,0.0,589206.0,1.0,1755616988.63,1.0,112.0,832.0,0.0,0.0,2.0,2.0,0.0,13.25,0.0,1.0,11.75,4257693801.0,2.0,25.0,0.0,17.83,3.0,0.0,27.57,0.0,0.0,8.5,1,1,,,,,,,
P10,1,10,,0.0,543557.0,1.0,1755616995.43,1.0,224.0,766.0,0.0,0.0,4.0,4.0,-1.0,23.08,-1.0,1.0,14.13,1203546798.0,5.0,44.0,0.0,58.47,3.0,1.0,39.46,0.0,0.0,8.72,1,1,,,,,,,
