participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.completionlink,session.config.participation_fee,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.topic_number,my_survey_static.1.player.tmp_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.topic_number,my_survey_static.2.player.tmp_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.topic_number,my_survey_static.3.player.tmp_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.topic_number,my_survey_static.4.player.tmp_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,eiuellxh,482910,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:29:38.424430,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,1,,0.0,482910,2,2,0,16.59,1,10.65,6013947528,2,21,,44.76,3,1,24.8,-1,0,15.26,1,1,1,,0.0,482910,4,24,-1,13.13,1,36.67,4718652930,0,44,,19.11,3,1,23.66,2,0,15.51,1,2,1,,0.0,482910,1,241,-1,15.63,1,143.39,0562918437,0,10,,18.54,2,1,16.49,-2,0,13.18,1,3,1,,0.0,482910,3,2413,-1,49.93,1,2.6,6429387105,0,36,,3.12,3,1,17.35,2,0,11.85,1,4,1,,0.0,Republican,Moderate,,1,1,1,,0.0,45-54,Female,,Thank you for letting me participate in this study.,1,1
2,tuesvnfg,218496,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:29:55.131433,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,2,,0.0,218496,2,2,1,17.21,1,10.67,3170924586,0,23,,7.69,3,0,17.06,-1,0,13.61,1,1,2,,0.0,218496,1,21,1,24.57,1,3.66,3194057268,7,12,,25.44,3,0,9.2,0,0,9.98,1,2,2,,0.0,218496,4,214,-2,11.17,1,3.53,5273081649,6,41,,17.57,3,0,21.19,0,0,3.74,1,3,2,,0.0,218496,3,2143,2,12.47,1,2.05,3608451729,0,33,,3.97,3,0,7.75,0,0,5.01,1,4,2,,0.0,Republican,Moderate,,1,1,2,,0.0,45-54,Male,,,1,1
3,6kh7f9dh,138007,0,1,26,my_survey_static,Positioning,2025-06-26 15:29:57.710100,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,3,,0.0, ,2,2,,,,,,,,,,,,,,,,1,1,3,,0.0, ,,,,,,,,,,,,,,,,,,1,2,3,,0.0, ,,,,,,,,,,,,,,,,,,1,3,3,,0.0, ,,,,,,,,,,,,,,,,,,1,4,3,,0.0,,,,1,1,3,,0.0,,,,,1,1
4,qfla8m3r,804461,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:30:24.198450,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,4,,0.0,804461,1,1,1,24.41,1,21.46,0524963781,2,12,,28.03,0,1,265.31,-2,0,10.7,1,1,4,,0.0,804461,4,14,-1,23.54,1,10.14,3265184907,3,45,,40.79,3,1,158.78,0,0,8.2,1,2,4,,0.0,804461,2,142,1,13.51,1,2.7,0759621438,3,29,,8.77,1,1,49.96,2,0,4.03,1,3,4,,0.0,804461,3,1423,2,22.16,1,6.21,4397280165,2,39,,4.96,0,1,86.35,1,0,3.35,1,4,4,,0.0,Republican,Moderate,,1,1,4,,0.0,55-64,Female,,,1,1
5,nfx62h6d,583460,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:30:38.449793,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,5,,0.0,583460,2,2,0,16.78,1,13.29,5109637482,8,28,,17.39,3,0,12.77,1,0,11.43,1,1,5,,0.0,583460,3,23,-1,17.11,1,8.0,6854937102,2,35,,15.61,3,0,52.67,-1,0,12.86,1,2,5,,0.0,583460,4,234,-2,7.03,1,2.39,1684397520,9,40,,17.01,3,0,11.49,-2,0,4.39,1,3,5,,0.0,583460,1,2341,-2,5.58,1,3.21,8793410625,0,18,,5.02,2,0,7.61,-2,0,13.6,1,4,5,,0.0,Independent,,Democrat Party,1,1,5,,0.0,45-54,Female,,,1,1
6,b0otsyjn,463139,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:30:50.257956,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,6,,0.0,463139,2,2,-2,32.06,1,31.42,8706193254,8,25,,63.93,2,1,195.52,2,0,20.27,1,1,6,,0.0,463139,4,24,-2,28.27,1,10.76,0382654719,3,42,,5.45,0,1,114.18,-2,0,6.08,1,2,6,,0.0,463139,1,241,-1,29.98,1,6.76,9524071368,3,14,,24.74,0,1,134.21,-2,0,14.3,1,3,6,,0.0,463139,3,2413,-1,40.16,1,12.53,5812340769,9,39,,8.57,0,1,90.14,-1,0,4.96,1,4,6,,0.0,Republican,Strong,,1,1,6,,0.0,45-54,Male,,,1,1
7,od0o76le,864042,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:31:05.044137,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,7,,0.0,864042,4,4,0,10.94,1,12.61,8149263750,2,44,,45.67,3,1,46.86,0,0,8.64,1,1,7,,0.0,864042,2,42,-1,11.55,1,4.02,1240875963,1,22,,12.24,3,1,7.36,-1,0,6.46,1,2,7,,0.0,864042,1,421,-1,12.63,1,3.88,3896071425,7,14,,7.48,3,1,8.21,0,0,3.35,1,3,7,,0.0,864042,3,4213,2,10.22,1,2.16,1894350276,3,34,,5.05,3,1,7.29,0,0,2.96,1,4,7,,0.0,Independent,,Republican Party,1,1,7,,0.0,35-44,Male,,,1,1
8,cr4azenk,416000,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:31:15.411520,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,8,,0.0,416000,1,1,2,4.11,1,6.17,3148907562,1,11,,19.23,3,0,14.86,2,0,3.14,1,1,8,,0.0,416000,3,13,2,4.61,1,1.74,7968320451,4,33,,6.17,3,1,23.94,2,1,26.68,1,2,8,,0.0,416000,4,134,2,3.38,1,7.88,5761284039,0,45,,1.9,0,1,38.27,2,1,218.16,1,3,8,,0.0,416000,2,1342,2,3.63,1,2.49,4985760231,3,25,,2.74,0,1,108.64,2,1,4.74,1,4,8,,0.0,Republican,Moderate,,1,1,8,,0.0,45-54,Female,,,1,1
9,nxf6sfnb,940141,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:31:37.775090,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,9,,0.0,940141,3,3,2,23.35,1,18.4,2103986574,0,32,,4.41,2,0,26.75,2,0,18.96,1,1,9,,0.0,940141,1,31,1,22.25,1,6.35,2786501934,0,12,,4.51,3,0,28.01,2,0,9.16,1,2,9,,0.0,940141,2,312,0,11.41,1,5.11,9426381705,0,29,,2.41,3,0,15.59,0,0,5.66,1,3,9,,0.0,940141,4,3124,0,14.74,1,4.11,7809342651,0,47,,4.37,3,0,20.26,0,0,8.04,1,4,9,,0.0,Republican,Strong,,1,1,9,,0.0,65+,Female,,,1,1
10,gxbli21a,868662,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:31:38.962761,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,10,,0.0,868662,4,4,-1,68.43,1,46.3,2061594837,8,43,,12.05,3,0,48.18,0,1,15.09,1,1,10,,0.0,868662,3,43,0,8.25,1,10.33,2840315967,5,31,,5.7,1,0,9.31,1,0,7.15,1,2,10,,0.0,868662,2,432,0,5.23,1,4.09,2718490653,0,22,,1.48,2,0,6.11,2,0,13.62,1,3,10,,0.0,868662,1,4321,2,11.3,1,5.24,2601974835,5,17,,2.92,3,0,4.68,0,0,7.08,1,4,10,,0.0,Republican,Moderate,,1,1,10,,0.0,55-64,Female,,,1,1
