participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.completionlink,session.config.real_world_currency_per_point,session.config.name,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.topic_number,my_survey_static.1.player.tmp_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.topic_number,my_survey_static.2.player.tmp_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.topic_number,my_survey_static.3.player.tmp_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.topic_number,my_survey_static.4.player.tmp_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,beymx8u2,574744,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:29:00.841463,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,1,,0.0,574744,3,3,-2,14.26,1,54.2,4359267018,7,30,,40.93,3,0,229.84,-2,1,52.91,1,1,1,,0.0,574744,4,34,-2,6.33,1,3.92,7260914853,9,43,,17.28,3,1,221.72,-1,1,56.05,1,2,1,,0.0,574744,1,341,-2,7.74,1,2.79,2586930147,0,12,,6.96,3,1,29.73,-2,0,9.54,1,3,1,,0.0,574744,2,3412,-2,3.82,1,2.35,2106794358,1,21,,12.77,0,1,20.61,-2,0,2.58,1,4,1,,0.0,Democrat,Strong,,1,1,1,,0.0,35-44,Female,,,1,1
2,6fyzzmka,637279,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:29:04.939613,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,2,,0.0,637279,4,4,0,9.39,1,19.56,6108794253,1,41,,29.1,3,1,50.82,-1,0,9.54,1,1,2,,0.0,637279,2,42,0,7.35,1,4.1,9708461532,0,29,,5.35,2,0,10.31,0,1,14.58,1,2,2,,0.0,637279,1,421,0,5.36,1,3.54,0246819753,1,12,,8.68,3,1,321.07,0,1,33.44,1,3,2,,0.0,637279,3,4213,0,4.65,1,7.74,2093614587,8,38,,9.79,3,1,30.11,0,0,215.53,1,4,2,,0.0,Independent,,Center,1,1,2,,0.0,25-34,Male,,,1,1
3,svpxxecl,556525,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:29:40.681702,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,3,,0.0,556525,4,4,-1,111.55,1,4.61,9528106743,4,41,,9.12,3,1,257.56,-1,0,3.9,1,1,3,,0.0,556525,2,42,-2,2.89,1,2.02,0714935826,5,23,,6.61,2,1,333.83,-2,0,4.25,1,2,3,,0.0,556525,3,423,0,3.54,1,2.19,5041892637,7,36,,61.13,3,1,162.69,1,0,4.87,1,3,3,,0.0,556525,1,4231,-2,5.48,1,2.54,8530942716,2,13,,3.04,3,1,92.67,0,0,10.03,1,4,3,,0.0,Democrat,Moderate,,1,1,3,,0.0,65+,Female,,,1,1
4,dckzyf47,526191,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:03.066749,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,4,,0.0,526191,4,4,-2,20.03,1,22.18,1302746589,7,45,,17.4,2,1,123.56,0,0,16.59,1,1,4,,0.0,526191,2,42,-2,6.56,1,6.6,3502986417,6,26,,18.52,2,0,53.18,0,0,3.91,1,2,4,,0.0,526191,3,423,-2,3.71,1,3.85,8239045716,5,34,,15.01,2,0,50.42,0,0,3.35,1,3,4,,0.0,526191,1,4231,-2,13.27,1,6.02,9724108563,5,10,,14.66,2,0,57.27,-2,0,3.47,1,4,4,,0.0,Independent,,Center,1,1,4,,0.0,25-34,Other,Nonbinary,,1,1
5,mqv05gyd,197022,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:11.959532,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,5,,0.0,197022,2,2,2,13.4,1,15.05,6419783250,1,24,,39.09,3,1,75.29,-1,0,15.57,1,1,5,,0.0,197022,1,21,2,13.17,1,7.02,8369574021,6,14,,32.15,3,1,119.76,-2,0,4.24,1,2,5,,0.0,197022,4,214,1,7.15,1,2.89,2146753089,3,46,,33.02,3,1,50.3,2,0,3.09,1,3,5,,0.0,197022,3,2143,1,11.89,1,2.22,7459630821,7,38,,9.0,3,1,28.35,1,0,2.89,1,4,5,,0.0,Republican,Moderate,,1,1,5,,0.0,45-54,Female,,,1,1
6,5tqknlq8,407157,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:35.004442,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,6,,0.0,407157,3,3,2,52.2,1,27.14,7958230416,1,39,,21.16,0,0,38.7,2,0,6.2,1,1,6,,0.0,407157,4,34,2,27.1,1,4.8,9156274308,1,41,,8.79,0,0,19.07,2,0,4.16,1,2,6,,0.0,407157,2,342,2,10.88,1,2.57,0985413627,2,28,,8.77,0,0,11.48,2,0,3.72,1,3,6,,0.0,407157,1,3421,2,10.82,1,4.32,8264795013,0,18,,8.77,3,0,29.44,-1,0,14.21,1,4,6,,0.0,Republican,Moderate,,1,1,6,,0.0,35-44,Female,,,1,1
7,nsuhfrhl,548146,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:36.774666,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,7,,0.0,548146,1,1,-1,17.53,1,11.11,2753081649,2,15,,14.06,3,1,23.08,0,0,10.22,1,1,7,,0.0,548146,2,12,-2,10.69,1,3.0,4279803615,1,22,,33.1,3,1,5.69,-1,0,5.15,1,2,7,,0.0,548146,4,124,-1,4.53,1,1.93,6381450927,4,44,,4.59,3,1,14.06,0,0,2.67,1,3,7,,0.0,548146,3,1243,-1,5.14,1,2.15,9781432506,4,34,,8.15,3,1,15.77,0,0,2.92,1,4,7,,0.0,Democrat,Moderate,,1,1,7,,0.0,25-34,Male,,,1,1
8,w902bqh3,216305,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:46.930407,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,8,,0.0,216305,1,1,2,9.86,1,17.84,2916583074,0,12,,54.83,3,1,9.84,-1,1,75.37,1,1,8,,0.0,216305,4,14,0,11.1,1,5.62,3561907428,6,47,,13.33,3,1,3.75,-1,1,31.0,1,2,8,,0.0,216305,3,143,2,5.75,1,6.92,1379406582,2,37,,8.98,3,1,3.91,1,1,11.3,1,3,8,,0.0,216305,2,1432,0,24.82,1,9.03,9713602854,2,21,,6.59,3,1,48.06,-2,1,32.24,1,4,8,,0.0,Independent,,Democrat Party,1,1,8,,0.0,25-34,Male,,,1,1
9,y3aj41z1,384522,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:30:53.344549,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,9,,0.0,384522,2,2,-2,9.77,1,247.62,9368472150,6,22,,30.98,3,1,69.15,0,0,4.95,1,1,9,,0.0,384522,4,24,-2,5.23,1,6.33,2087564319,8,41,,22.1,3,1,140.59,-1,0,3.16,1,2,9,,0.0,384522,3,243,-1,4.53,1,2.06,8621403759,7,37,,20.18,3,1,55.66,0,0,2.61,1,3,9,,0.0,384522,1,2431,-1,3.77,1,2.0,3582701469,4,17,,15.67,3,1,66.97,-1,0,2.99,1,4,9,,0.0,Democrat,Strong,,1,1,9,,0.0,35-44,Female,,,1,1
10,pnwzoeir,960061,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:31:01.388080,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,10,,0.0,960061,1,1,1,8.92,1,20.43,5396218407,7,14,,22.72,3,0,35.59,0,0,9.91,1,1,10,,0.0,960061,4,14,1,239.13,1,3.68,5932741068,6,41,,39.04,3,1,49.04,0,0,7.06,1,2,10,,0.0,960061,2,142,0,9.59,1,6.43,4150937286,2,25,,15.05,3,1,62.95,1,0,4.9,1,3,10,,0.0,960061,3,1423,1,9.31,1,4.0,2035678194,2,33,,11.51,3,1,37.71,-1,0,5.72,1,4,10,,0.0,Republican,Strong,,1,1,10,,0.0,45-54,Female,,,1,1
